service_name,official_site_url,logo_image_url,logo_source_page_url,logo_source_type,logo_detection_method,logo_alt_or_context,concept_exact_text,concept_summary_ja,continuity_keywords,evidence_urls,checked_at,status
おうちでカーブス,https://www.curves.co.jp/ouchi/,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/bb/6c/02/bb6c0267-307e-c8da-9e61-4fe3ef2b9e50/AppIcon-0-0-1x_U007emarketing-0-8-0-0-85-220.png/512x512bb.jpg,https://apps.apple.com/jp/app/id1553722130,appstore_icon,appstore_icon,おうちでフィットネスbyカーブス（App Store id=1553722130、デベロッパー：株式会社カーブスジャパン）,74万人＊の女性に支持されているカーブスを、ご自身のスマホやタブレットを使って1日6分からオンラインで体験できます。,女性専用フィットネス「カーブス」のメソッドをスマホ・タブレットのアプリで1日6分から自宅で体験できるオンラインサービス。24時間視聴可能な録画メニューと予約不要の生放送メニューを提供。,女性専用|1日6分|オンライン|録画メニュー|生放送|24時間|予約不要|アプリ|カーブス,https://www.curves.co.jp/ouchi/|https://apps.apple.com/jp/app/id1553722130|https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/bb/6c/02/bb6c0267-307e-c8da-9e61-4fe3ef2b9e50/AppIcon-0-0-1x_U007emarketing-0-8-0-0-85-220.png/512x512bb.jpg,2026-03-24,採用
B-fit online,https://b-fit.jp/online/,https://b-fit.jp/online/images/logo_hd2104.png,https://b-fit.jp/online/,header,header_img,B-fit online,"月120本以上の多彩なレッスンが受け放題！運動初心者から愛好者まで、どの運動レベルにも対応できるレッスンをご用意しています。ストレッチ、ヨガ、筋トレ、ダンス、格闘系など豊富なプログラム。受け放題だから毎日受講もできるし、週に2～3回の受講もOK!あなたのリズムに合わせた運動習慣が実現します。",ヨガ・ストレッチ・筋トレ・ダンスなど月120本以上のオンラインレッスンが受け放題のフィットネスサービス。ただし2024年8月にライブ配信コンテンツは終了しており現時点でのサービス継続状況は要確認。,受け放題|月120本以上|ヨガ|ストレッチ|筋トレ|ダンス|格闘系|運動初心者|24時間,https://b-fit.jp/online/|https://b-fit.jp/online/images/logo_hd2104.png,2026-03-24,要再確認
zen place オンライン,https://www.zenplace.co.jp/online,https://www.zenplace.co.jp/images_next/common/zen_logo.svg,https://www.zenplace.co.jp/online,header,header_img,ピラティス専門のzen place（ゼンプレイス）,ピラティス、ヨガのスタジオレッスンが自宅でできるzen placeのオンライン,zen place会員はすべてのマットグループレッスンをオンラインで受講可能。日本初の双方向ライブ配信で全国スタジオのレッスンを受けられ「20分継続習慣」を推奨する忙しい人向けオンラインピラティス・ヨガサービス。,ピラティス|ヨガ|スタジオレッスン|自宅|双方向ライブ配信|20分継続習慣|全国,https://www.zenplace.co.jp/online|https://www.zenplace.co.jp/images_next/common/zen_logo.svg|https://www.zenplace.co.jp/og-pilates.jpg,2026-03-24,採用
ルネサンス オンラインLivestream,https://rol.s-re.jp/,,https://rol.s-re.jp/,,,context unavailable（STEP 1〜8全完了。ヘッダーロゴはCSS background-image=Studio.site CDN（非公式）。favicon/og:imageもStudio.site CDN（非公式）。App「Myルネサンス」廃止確認。Google Playアプリなし。公式ドメイン配下ロゴ一切未発見）,徒歩0分で通える自分だけのフィットネススタジオ。オンラインレッスンならルネサンス,スポーツクラブ「ルネサンス」が提供するオンラインフィットネスサービス。「徒歩0分で通える自分だけのフィットネススタジオ」をコンセプトに週900本以上・24時間のライブ・ビデオレッスンを提供。,徒歩0分|おうちがスタジオ|24時間|週900本以上|ライブレッスン|ビデオレッスン|ルネサンス,https://rol.s-re.jp/|https://rol.s-re.jp/about202104,2026-03-24,要再確認
MELONオンライン,https://www.the-melon.com/online-program/,https://www.the-melon.com/wp-content/themes/melon-theme/_assets/images/_common/logo.png,https://www.the-melon.com/online-program/,header,header_img,MELON,"「マインドフルネス」とは、先端科学で裏付けられた、古代生まれの休息法。さまよう脳をとどめ、「今、ここ」に意識を向けることで、脳や心への負担を減らし、休めることができます。","マインドフルネス瞑想に特化した月額制オンラインサロン。「心を鍛えて、マインドフルな毎日を」をコンセプトに月300本以上のクラスが受け放題で科学的エビデンスに基づいたプログラムを提供。",マインドフルネス|心を鍛える|月額制オンラインサロン|受け放題|瞑想|ヨガ|エビデンス|今ここ,https://www.the-melon.com/online-program/|https://www.the-melon.com/wp-content/themes/melon-theme/_assets/images/_common/logo.png|https://www.the-melon.com/wp-content/uploads/2020/04/melon_logo_20200207.jpg,2026-03-24,採用
PILATES BODY STUDIO オンライン,https://www.pilates-body.jp/online-lesson/index.html,https://www.pilates-body.jp/assets/images/common/logo.svg,https://www.pilates-body.jp/online-lesson/index.html,header,header_img,PILATES BODY STUDIO,"「絶対的品質」でお応えする PILATES BODY STDUIOの オンラインレッスン。ピラティス創設者「ジョセフ・ピラティス」公式直系、日本唯一のトレーニングセンター。全国からお客様が絶えないピラティスボディスタジオの、世界に認められた水準のレッスンをオンラインでどなたにもご参加いただけるよう、品質にこだわりました。",ピラティス創設者直系・日本唯一のトレーニングセンターが世界水準の品質にこだわったオンラインレッスンをZoomで提供。グループとレコーディングの2形式で受講可能。,絶対的品質|ピラティス|オンラインレッスン|Zoom|少人数制|世界水準|ジョセフ・ピラティス,https://www.pilates-body.jp/online-lesson/index.html|https://www.pilates-body.jp/index.html,2026-03-24,採用
あすけん,https://www.asken.jp/,https://www.asken.jp/img/home_renew/main_logo.svg,https://www.asken.jp/,header,header_img,あすけん,管理栄養士監修のアドバイスが届く！ ダイエット・健康管理のためのアプリ,食事を記録するだけで管理栄養士監修のアドバイスが受けられる食事管理アプリ。カロリー・栄養素を自動計算しダイエットや健康維持に活用できる。,食事管理|栄養素|カロリー計算|管理栄養士|ダイエット|健康管理|アドバイス,https://www.asken.jp/|https://www.asken.jp/img/home_renew/main_logo.svg,2026-03-24,採用
dヘルスケア,https://health.docomo.ne.jp/,https://cms.static.dhealthcare.net/static/dhealthcare_logo.svg,https://health.docomo.ne.jp/,header,header_img,dヘルスケア,"おトクで、カンタン。だから続けられる！複雑なのは続かないかも…そんな三日坊主さんもご安心を！「dヘルスケア」アプリは、毎日届く健康に関する「ミッション」をクリアするだけ！",毎日の健康ミッションをクリアするとdポイントがもらえるNTTドコモのシンプルで続けやすい健康管理アプリ。歩数・体重・血圧などを記録し医療サービスへのアクセスも提供。,dポイント|健康ミッション|歩数|続けられる|おトク|カンタン|NTTドコモ,https://health.docomo.ne.jp/|https://www.docomo.ne.jp/service/healthcare/,2026-03-24,採用
楽天ヘルスケア,https://healthcare.rakuten.co.jp/,https://healthcare.rakuten.co.jp/assets/images/logo.svg,https://healthcare.rakuten.co.jp/,header,header_img,Rakuten ヘルスケア,毎日のヘルスマネジメントをもっとカンタンに、もっとおトクに。楽しくポイントを貯めながらおトクに健康増進を目指すアプリです！,歩いて楽天ポイントを貯めながらおトクに健康増進を目指すアプリ。毎日のヘルスマネジメントを簡単に行えることを特徴とする。,楽天ポイント|健康増進|歩数|ヘルスマネジメント|カンタン|おトク,https://healthcare.rakuten.co.jp/|https://healthcare.rakuten.co.jp/assets/images/logo.svg,2026-03-24,採用
kencom,https://kencom.jp/,https://play-lh.googleusercontent.com/tuK3Iokrn0keg8EI7tRoFg28KB7sHaPd5hm68a3Xn-ifftXMVawHaqAxE67mv6Wl1lAxGRL9Z5UtzBeZEU2bVg=w240-h480-rw,https://play.google.com/store/apps/details?id=jp.kencom.android&hl=ja,playstore_icon,playstore_icon,アイコン画像（kencom(ケンコム) Google Play掲載）,あなたに合わせた健康情報をお届けして、楽しく健康になる毎日を提供します。,健診結果や歩数データをもとに個人に最適化された健康情報を配信しkencomコインでギフト券が当たる仕組みで継続利用を促す健康レコメンデーションアプリ（DeSCヘルスケア提供）。,健康レコメンデーション|健診結果|歩数|健康情報|kencomコイン|個人最適化|DeSCヘルスケア,https://kencom.jp/login|https://play.google.com/store/apps/details?id=jp.kencom.android&hl=ja,2026-03-24,採用
