[2026-04-02T06:24:05.760Z] ロゴ収集開始: 50社
[2026-04-02T06:24:05.761Z]   処理中 [1] ソフトバンクグループ
[2026-04-02T06:25:17.058Z]     取得成功: かんぽ生命
[2026-04-02T06:25:17.560Z]   [5] 三菱HCキャピタル株式会社
[2026-04-02T06:25:17.726Z]     取得成功: 三菱HCキャピタル
[2026-04-02T06:25:18.228Z]   [6] 日本マクドナルドホールディングス株式会社
[2026-04-02T06:25:18.338Z]     取得成功: McDonald's
[2026-04-02T06:25:18.894Z]     取得成功: 日本マクドナルド
[2026-04-02T06:25:19.395Z]   [7] NIPPON EXPRESSホールディングス株式会社
[2026-04-02T06:25:19.904Z]     取得成功: NIPPON EXPRESS
[2026-04-02T06:25:20.625Z]     取得成功: NX
[2026-04-02T06:25:21.281Z]     取得成功: NX Logistics
[2026-04-02T06:25:21.783Z]   [8] 日本酸素ホールディングス株式会社
[2026-04-02T06:25:25.631Z]     取得成功: 日本酸素ホールディングス
[2026-04-02T06:25:26.226Z]     取得成功: Thermos
[2026-04-02T06:25:28.335Z]     取得成功: Matheson
[2026-04-02T06:25:31.010Z]     取得成功: Taiyo Nippon Sanso
[2026-04-02T06:25:31.512Z]   [9] SCREENホールディングス
[2026-04-02T06:25:31.820Z]     取得成功: SCREEN
[2026-04-02T06:25:32.516Z]     取得成功: SCREEN Semiconductor Solutions
[2026-04-02T06:25:33.254Z]     取得成功: SCREEN Graphic Solutions
[2026-04-02T06:25:34.095Z]     取得成功: SCREEN PE Solutions
[2026-04-02T06:25:34.596Z]   [10] DOWAホールディングス株式会社
[2026-04-02T06:25:34.937Z]     取得失敗（missing）: DOWA
[2026-04-02T06:25:35.890Z]     取得成功: DOWAエコシステム
[2026-04-02T06:25:36.390Z]     キャッシュ済み: DOWAメタルマイン
[2026-04-02T06:25:36.892Z]     キャッシュ済み: DOWAエレクトロニクス
[2026-04-02T06:25:37.393Z]     キャッシュ済み: DOWAメタルテック
[2026-04-02T06:25:37.895Z]     キャッシュ済み: DOWAサーモテック
[2026-04-02T06:25:38.397Z]   [11] ゼンショーホールディングス株式会社
[2026-04-02T06:25:48.404Z]     取得失敗（missing）: ゼンショー
[2026-04-02T06:25:49.118Z]     取得成功: すき家
[2026-04-02T06:25:49.890Z]     取得成功: はま寿司
[2026-04-02T06:25:50.458Z]     取得失敗（missing）: なか卯
[2026-04-02T06:25:51.294Z]     取得成功: ココス
[2026-04-02T06:25:52.020Z]     取得成功: ジョリーパスタ
[2026-04-02T06:25:52.734Z]     取得成功: ビッグボーイ
[2026-04-02T06:25:53.235Z]   [12] JFEホールディングス株式会社
[2026-04-02T06:25:53.338Z]     取得成功: JFE
[2026-04-02T06:25:53.840Z]     キャッシュ済み: JFEスチール
[2026-04-02T06:25:54.342Z]     キャッシュ済み: JFEエンジニアリング
[2026-04-02T06:25:54.843Z]     キャッシュ済み: JFE商事
[2026-04-02T06:25:55.345Z]   [13] MS&ADインシュアランスグループホールディングス株式会社
[2026-04-02T06:25:55.650Z]     取得失敗（missing）: MS&AD
[2026-04-02T06:25:56.366Z]     取得成功: 三井住友海上
[2026-04-02T06:25:58.317Z]     取得成功: あいおいニッセイ同和損保
[2026-04-02T06:25:59.021Z]     取得成功: 三井住友海上あいおい生命
[2026-04-02T06:25:59.522Z]   [14] SOMPOホールディングス株式会社
[2026-04-02T06:25:59.835Z]     取得成功: SOMPO
[2026-04-02T06:26:00.547Z]     取得成功: 損保ジャパン
[2026-04-02T06:26:01.048Z]     キャッシュ済み: SOMPOひまわり生命
[2026-04-02T06:26:01.549Z]     キャッシュ済み: SOMPOケア
[2026-04-02T06:26:02.051Z]   [15] 電通グループ株式会社
[2026-04-02T06:26:03.279Z]     取得成功: dentsu
[2026-04-02T06:26:03.827Z]     取得成功: 電通
[2026-04-02T06:26:04.665Z]     取得成功: 電通総研
[2026-04-02T06:26:05.166Z]   [16] ソニーグループ株式会社
[2026-04-02T06:26:05.280Z]     取得失敗（missing）: Sony
[2026-04-02T06:26:06.095Z]     取得成功: PlayStation
[2026-04-02T06:26:07.069Z]     取得成功: Sony Music
[2026-04-02T06:26:08.012Z]     取得成功: Sony Pictures
[2026-04-02T06:26:09.090Z]     取得成功: Sony Semiconductor
[2026-04-02T06:26:09.591Z]   [17] 第一生命ホールディングス株式会社
[2026-04-02T06:26:09.702Z]     取得成功: 第一生命
[2026-04-02T06:26:10.243Z]     取得成功: Dai-ichi Life
[2026-04-02T06:26:11.096Z]     取得成功: ネオファースト生命
[2026-04-02T06:26:11.598Z]   [18] 東京海上ホールディングス株式会社
[2026-04-02T06:26:11.750Z]     取得成功: 東京海上
[2026-04-02T06:26:12.491Z]     取得成功: 東京海上日動
[2026-04-02T06:26:13.139Z]     取得成功: 東京海上日動あんしん生命
[2026-04-02T06:26:13.640Z]   [19] ゆうちょ銀行
[2026-04-02T06:26:13.714Z]     取得失敗（missing）: ゆうちょ銀行
[2026-04-02T06:26:14.216Z]   [20] りそなホールディングス株式会社
[2026-04-02T06:26:14.472Z]     取得成功: りそな
[2026-04-02T06:26:15.335Z]     取得成功: りそな銀行
[2026-04-02T06:26:16.086Z]     取得成功: 埼玉りそな銀行
[2026-04-02T06:26:16.861Z]     取得成功: 関西みらい銀行
[2026-04-02T06:26:17.789Z]     取得成功: みなと銀行
[2026-04-02T06:26:18.291Z] TOP20ブランドロゴ収集完了
[2026-04-02T06:26:25.989Z] アセット検証開始
[2026-04-02T06:26:25.990Z]   missing: DOWAホールディングス
[2026-04-02T06:26:25.990Z]   missing: ゼンショーHD
[2026-04-02T06:26:25.990Z]   missing: MS&AD HD
[2026-04-02T06:26:25.990Z]   missing: ソニーグループ
[2026-04-02T06:26:25.991Z]   missing: ゆうちょ銀行
[2026-04-02T06:26:25.991Z]   missing: 飯田グループHD
[2026-04-02T06:26:25.991Z]   missing: 西日本FHD
[2026-04-02T06:26:25.991Z]   missing: ちゅうぎんFG
[2026-04-02T06:26:25.991Z]   missing: FPGホールディングス
[2026-04-02T06:26:25.991Z]   missing: OBARA GROUP
[2026-04-02T06:26:25.991Z]   missing: ID&Eホールディングス
[2026-04-02T06:26:25.991Z]   missing: アパグループ
[2026-04-02T06:26:25.991Z]   missing: WELCOME Group
[2026-04-02T06:26:25.991Z]   missing: NISSOホールディングス
[2026-04-02T06:26:25.991Z]   missing: 日本工営グループ
[2026-04-02T06:26:25.991Z] 
親会社ロゴ: 取得済み=35, missing=15
[2026-04-02T06:26:25.992Z] ブランドロゴ: 取得済み=64, missing=0
[2026-04-02T06:26:25.992Z] 検証完了・JSON更新済み
